"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_24830",-45.6745227911056,16.8380921146547,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 1"
"g_24831",3.40410428778911,-8.75846836017702,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24834",-49.2433988041074,-9.65979464076262,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24836",-36.5129153928541,-12.3602778687901,"Cluster 2","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_24838",9.60391176575805,-4.53115072060071,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24839",-14.6436349605604,2.8299591106612,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24842",-7.07349864883305,-10.6561056521837,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24848",-1.3106281802134,-41.9428687879748,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24849",-10.7436811938683,-28.3432577631836,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24859",43.974723318104,20.1314197637274,"Cluster 1","Cluster 3","Cluster 5","Cluster 2","Cluster 1"
"g_24862",-4.75235965104168,-21.8492437007751,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24866",-48.1665951365459,-5.18995106800987,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24868",19.7214631782535,3.86643823476995,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_24869",23.2761804021033,-31.9368302398555,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24873",10.6124699519636,-4.43466522779439,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24875",-8.95273525921914,-38.1767440515581,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24876",-33.2603892811567,16.0787173374703,"Cluster 3","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_24877",7.27918972825474,24.6308048927355,"Cluster 4","Cluster 5","Cluster 6","Cluster 6","Cluster 1"
"g_24878",18.2609173629534,0.556822698478919,"Cluster 4","Cluster 5","Cluster 4","Cluster 6","Cluster 1"
"g_24879",4.46076514509886,-37.7946233750828,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24880",9.7002154045695,-25.3098996070925,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24881",-43.174867566455,19.8201113389485,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 1"
"g_24885",-8.66544013534717,-33.493697325787,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24886",24.9678056453445,0.92480795919283,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24887",-1.20307392360375,-23.4135788548212,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24888",38.4924504884495,-16.2391223644133,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24889",5.34551147215066,-11.3450815019228,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24892",-32.672953157843,-17.6208178086434,"Cluster 5","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_24893",2.2735763946694,-30.8651253870413,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24894",16.7861864030344,-25.2808080607522,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24895",33.878570353123,15.1305382738014,"Cluster 4","Cluster 5","Cluster 4","Cluster 6","Cluster 1"
"g_24897",30.5720685459613,-6.46371126666338,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24902",40.4482089238939,15.0872599422722,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24903",41.3739860912949,4.75212610251825,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24904",32.8404387464037,1.4104215436887,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24905",-13.3316930866972,-38.506540227955,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24906",3.59372798685653,-41.8175746016206,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24907",2.76588605682198,-31.8579271369715,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24909",-31.6939060500863,11.769571671286,"Cluster 3","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_24910",-11.1260699328145,-25.5482092973458,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24911",-0.425300748129785,-26.1976950081083,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24912",15.7236678121922,-15.4222727245735,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24915",29.3491674915426,-21.6027426454978,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24920",4.1655910495355,12.4446081974437,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24921",14.3163308370233,5.50763602565654,"Cluster 4","Cluster 5","Cluster 4","Cluster 2","Cluster 1"
"g_24922",-1.33769701298202,-28.2760683630436,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24923",-46.2937915479482,20.6611720420383,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 5"
"g_24925",40.8266800285573,-32.8228350706284,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24927",15.6372120775873,14.539815303186,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24928",40.8215788257288,18.6777267857158,"Cluster 4","Cluster 5","Cluster 5","Cluster 2","Cluster 1"
"g_24929",11.9681151245128,9.5354809495169,"Cluster 4","Cluster 5","Cluster 4","Cluster 6","Cluster 1"
"g_24930",-35.9559391193378,-19.2025125080493,"Cluster 2","Cluster 4","Cluster 1","Cluster 1","Cluster 3"
"g_24931",1.75065502874419,-19.8606731809016,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24934",19.6518123458469,-18.0474977503843,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24938",5.17255220241581,-41.880556869224,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24940",30.7521469942727,17.7829571384428,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24942",-14.5298693127645,11.9025911890371,"Cluster 7","Cluster 1","Cluster 3","Cluster 3","Cluster 3"
"g_24943",-41.9751605460133,-17.5764156792138,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24945",-49.9153132750295,-6.17893198954285,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 3"
"g_24948",7.40447872431257,-0.268537951900169,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24950",-36.5559840075204,41.0561932298485,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 1"
"g_24953",-6.50706159994004,11.4485389517058,"Cluster 3","Cluster 7","Cluster 6","Cluster 7","Cluster 1"
"g_24954",0.473810983034381,-39.0599764756953,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24955",35.1975103806509,5.30220858315331,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24957",-9.60973705973372,-35.5753655141556,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24959",4.59573830690478,-21.9010742617997,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24961",-27.926776055117,19.8148706396697,"Cluster 3","Cluster 7","Cluster 6","Cluster 7","Cluster 1"
"g_24962",-22.5255592819297,-30.8353162649981,"Cluster 5","Cluster 6","Cluster 1","Cluster 1","Cluster 3"
"g_24964",-7.34599811445295,-37.90971426143,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
